Tournament_ID,Match_ID,Team_1,Team_2,Toss_Won_By,Winner,Match_Won_by,1st_innings_score,2nd_innings_score,Overs_1st,Overs_2nd,1st_innings_wicket,2nd_innings_wicket
W098,W098001,India,Sri Lanka,null,null,null,null,null,null,null,null,null
W098,W098002,Netherlands,West Indies,null,null,null,null,null,null,null,null,null
W098,W098003,Australia,Ireland,null,null,null,null,null,null,null,null,null
W098,W098004,Pakistan,Denmark,Denmark,Denmark,Chasing,65,66,30.4,29.3,10,2
W098,W098005,England,South Africa,South Africa,England,Chasing,94,87,20,20,7,9
W098,W098006,Netherlands,New Zealand,New Zealand,New Zealand,Chasing,48,49,20,20,8,2
W098,W098007,West Indies,Sri Lanka,Sri Lanka,Sri Lanka,Chasing,79,81,29.4,30.3,4,10
W098,W098008,South Africa ,Australia,South Africa,Australia,Chasing,163,167,60,28.5,9,0
W098,W098009,Denmark,Ireland,Denmark,Ireland,Chasing,56,57,23,19.1,7,1
W098,W098010,England,Pakistan,Pakistan,England,Defending,376,146,50,47,2,3
W098,W098011,India ,West Indies,West Indies,India,Defending,145,83,40,33.2,7,10
W098,W098012,New Zealand,Sri Lanka,Sri Lanka,New Zealand,Defending,236,71,50,47.2,3,10
W098,W098013,Pakistan,Australia,Pakistan,Australia,Chasing,27,28,13.4,6.1,10,1
W098,W098014,England,Denmark,Denmark,England,Defending,301,107,50,50,4,7
W098,W098015,Ireland,South Africa,South Africa,South Africa,Chasing,155,156,43.1,27.5,10,1
W098,W098016,India,Netherlands,Netherlands,India,Defending,175,82,40,40,8,9
W098,W098017,New Zealand,West Indies,West Indies,New Zealand,Defending,253,55,50,28.3,9,10
W098,W098018,Australia,Denmark,Australia,Australia,Defending,412,49,50,25.5,3,10
W098,W098019,England,Ireland,England,England,Defending,324,116,50,41.1,3,6
W098,W098020,South Africa ,Pakistan,South Africa,South Africa,Defending,258,109,50,40,7,10
W098,W098021,New Zealand,India,New Zealand,New Zealand,Tie,176,176,50,49.1,9,10
W098,W098022,Netherlands,Sri Lanka,Sri Lanka,Netherlands,Defending,138,91,45.3,45.2,10,10
W098,W098023,England,Australia,England,Australia,Chasing,95,96,49.4,26.2,10,2
W098,W098024,South Africa ,Denmark,Denmark,South Africa,Defending,213,114,50,46.2,6,10
W098,W098025,Ireland,Pakistan,Pakistan,Ireland,Defending,242,60,50,30.3,7,10
W098,W098026,West Indies,Denmark,Denmark,West Indies,Defending,229,128,45,40,5,10
W098,W098027,Australia,Netherlands,Australia,Australia,Defending,223,108,50,50,4,6
W098,W098028,Sri Lanka,England,Sri Lanka,England,Chasing,104,105,43.2,22.1,10,1
W098,W098029,South Africa ,India,South Africa,India,Chasing,80,81,43.1,28,10,5
W098,W098030,New Zealand,Ireland,New Zealand,New Zealand,Defending,244,105,50,50,3,9
W098,W098031,Australia,India,India,Australia,Defending,123,104,32,30,7,9
W098,W098032,New Zealand,England,New Zealand,New Zealand,Defending,175,155,50,47.5,6,10
W098,W098033,New Zealand,Australia,New Zealand,Australia,Chasing,164,165,49.3,47.4,10,5
